id,sentence,ambiguity_label,actor_text,actor_start,actor_end
1,The veterinarian said she will call later.,unambiguous,veterinarian,4,16
2,"The consultant, who said she was calm, started the meeting.",unambiguous,consultant,4,14
3,The stewardess opened the door.,unambiguous,stewardess,4,14
4,The analyst said he will arrive soon.,unambiguous,analyst,4,11
5,"After reading the email, the director said she was available.",unambiguous,director,29,37
6,"After finishing work, the waiter sent an email.",unambiguous,waiter,26,32
7,"The empress, who was available, entered the room.",unambiguous,empress,4,11
8,Your pilot returned later.,ambiguous,pilot,5,10
9,The chef sat down at noon.,ambiguous,chef,4,8
10,The engineer said she will speak tomorrow.,unambiguous,engineer,4,12
11,The lawyer introduced herself politely.,unambiguous,lawyer,4,10
12,"Before the meeting, the nurse checked her bag.",unambiguous,nurse,24,29
13,"Because the principal was prepared, the principal called yesterday.",ambiguous,principal,12,21
14,The pharmacist called yesterday.,ambiguous,pharmacist,4,14
15,The librarian said he was available.,unambiguous,librarian,4,13
16,The busy pharmacist started the meeting.,ambiguous,pharmacist,9,19
17,"During the event, the hero sat down.",unambiguous,hero,22,26
18,The journalist said she will join the meeting.,unambiguous,journalist,4,14
19,"After closing the office, the director checked the schedule.",ambiguous,director,30,38
20,"Before the meeting, the artist checked her schedule.",unambiguous,artist,24,30
21,The experienced hostess returned later.,unambiguous,hostess,16,23
22,My principal said he was late.,unambiguous,principal,3,12
23,"Because the writer was confident, the writer arrived.",ambiguous,writer,12,18
24,The researcher introduced himself politely.,unambiguous,researcher,4,14
25,"The architect, who said he was calm, finished the report.",unambiguous,architect,4,13
26,The nurse introduced himself politely.,unambiguous,nurse,4,9
27,Your musician answered quickly.,ambiguous,musician,5,13
28,The pilot returned later.,ambiguous,pilot,4,9
29,"Before the meeting, the mechanic checked her notebook.",unambiguous,mechanic,24,32
30,The analyst will finish the report.,ambiguous,analyst,4,11
31,"The instructor, who said she was late, prepared carefully.",unambiguous,instructor,4,14
32,The translator introduced himself politely.,unambiguous,translator,4,14
33,"On Monday, the pilot sent an email.",ambiguous,pilot,15,20
34,"Because the analyst was tired, the analyst smiled politely.",ambiguous,analyst,12,19
35,The careful dentist said she would return later.,unambiguous,dentist,12,19
36,"On Monday, the principal called yesterday.",ambiguous,principal,15,24
37,The chairman spoke clearly.,unambiguous,chairman,4,12
38,"The professor, who said he was ready, joined the call.",unambiguous,professor,4,13
39,"The accountant, who was available, spoke clearly.",ambiguous,accountant,4,14
40,A surgeon left early.,ambiguous,surgeon,2,9
41,"After closing the office, the dentist said he was worried.",unambiguous,dentist,30,37
42,The accountant explained the issue.,ambiguous,accountant,4,14
43,"After reviewing the notes, the photographer opened the door.",ambiguous,photographer,31,43
44,Your supervisor walked in quietly.,ambiguous,supervisor,5,15
45,"After joining the call, the coach started the meeting.",ambiguous,coach,28,33
46,My journalist said she was confident.,unambiguous,journalist,3,13
47,"The empress, who was prepared, stood near the window.",unambiguous,empress,4,11
48,The chef said she will finish the report.,unambiguous,chef,4,8
49,"Before the meeting, the scientist checked his coat.",unambiguous,scientist,24,33
50,Your translator said she was prepared.,unambiguous,translator,5,15
51,"Last week, the assistant walked in quietly.",ambiguous,assistant,15,24
52,The local king waited outside.,unambiguous,king,10,14
53,"After reading the email, the designer smiled politely.",ambiguous,designer,29,37
54,The manager introduced herself politely.,unambiguous,manager,4,11
55,"The professor called yesterday, and he seemed focused.",unambiguous,professor,4,13
56,"After finishing work, the scientist said she was available.",unambiguous,scientist,26,35
57,The director will call later.,ambiguous,director,4,12
58,The driver forgot her bag.,unambiguous,driver,4,10
59,Their translator said she was late.,unambiguous,translator,6,16
60,The surgeon called yesterday.,ambiguous,surgeon,4,11
61,Their counselor said she was worried.,unambiguous,counselor,6,15
62,"Before the meeting, the doctor asked a question.",ambiguous,doctor,24,30
63,The teacher forgot his laptop.,unambiguous,teacher,4,11
64,"The supervisor, who was focused, made a decision.",ambiguous,supervisor,4,14
65,The musician said he will arrive soon.,unambiguous,musician,4,12
66,"Yesterday, the therapist left early.",ambiguous,therapist,15,24
67,The famous photographer waited outside.,ambiguous,photographer,11,23
68,The private developer said she would return later.,unambiguous,developer,12,21
69,"The designer waited outside, and she seemed focused.",unambiguous,designer,4,12
70,"After closing the office, the duchess answered quickly.",unambiguous,duchess,30,37
71,The musician said she was confident.,unambiguous,musician,4,12
72,The photographer forgot his coat.,unambiguous,photographer,4,16
73,"The coach, who was calm, arrived.",ambiguous,coach,4,9
74,"The congresswoman, who was ready, started the meeting.",unambiguous,congresswoman,4,17
75,"After preparing the report, the dentist answered quickly.",ambiguous,dentist,32,39
76,"After finishing work, the receptionist said she was confident.",unambiguous,receptionist,26,38
77,The local accountant worked late.,ambiguous,accountant,10,20
78,The teacher forgot her wallet.,unambiguous,teacher,4,11
79,The busy stewardess explained the issue.,unambiguous,stewardess,9,19
80,The professor said he will arrive soon.,unambiguous,professor,4,13
81,"In the afternoon, the saleswoman finished the report.",unambiguous,saleswoman,22,32
82,"Last week, the heroine gave a lecture.",unambiguous,heroine,15,22
83,"After reading the email, the receptionist said she was prepared.",unambiguous,receptionist,29,41
84,The tired teacher joined the call.,ambiguous,teacher,10,17
85,My librarian said he was prepared.,unambiguous,librarian,3,12
86,My assistant said he was available.,unambiguous,assistant,3,12
87,My nurse walked in quietly.,ambiguous,nurse,3,8
88,"Last week, the counselor made a decision.",ambiguous,counselor,15,24
89,"The receptionist arrived, and he seemed busy.",unambiguous,receptionist,4,16
90,"After closing the office, the chairman asked a question.",unambiguous,chairman,30,38
91,"After checking the schedule, the librarian said she was prepared.",unambiguous,librarian,33,42
92,"After joining the call, the chairman entered the room.",unambiguous,chairman,28,36
93,The translator forgot his wallet.,unambiguous,translator,4,14
94,"Near the end of the day, the driver spoke clearly.",ambiguous,driver,29,35
95,"The teacher, who was calm, called yesterday.",ambiguous,teacher,4,11
96,"The journalist, who was confident, started the meeting.",ambiguous,journalist,4,14
97,The writer answered quickly.,ambiguous,writer,4,10
98,"After closing the office, the editor explained the issue.",ambiguous,editor,30,36
99,A engineer worked late.,ambiguous,engineer,2,10
100,"Because the consultant was tired, the consultant checked the schedule.",ambiguous,consultant,12,22
101,"The musician, who said he was worried, spoke clearly.",unambiguous,musician,4,12
102,"Before the meeting, the surgeon checked his notes.",unambiguous,surgeon,24,31
103,"After reviewing the notes, the assistant said he was confident.",unambiguous,assistant,31,40
104,"Before the meeting, the assistant checked her bag.",unambiguous,assistant,24,33
105,"After answering questions, the architect said he was worried.",unambiguous,architect,31,40
106,"After closing the office, the pilot gave a short update.",ambiguous,pilot,30,35
107,"After reading the email, the director smiled politely.",ambiguous,director,29,37
108,The designer gave a lecture.,ambiguous,designer,4,12
109,The new counselor said he would return later.,unambiguous,counselor,8,17
110,"On Monday, the emperor walked in quietly.",unambiguous,emperor,15,22
111,"The photographer checked the schedule, and she seemed confident.",unambiguous,photographer,4,16
112,"The instructor, who was prepared, gave a lecture.",ambiguous,instructor,4,14
113,The receptionist sent an email during the event.,ambiguous,receptionist,4,16
114,"Before the meeting, the analyst checked his notes.",unambiguous,analyst,24,31
115,A coach stood near the window.,ambiguous,coach,2,7
116,"After reviewing the notes, the translator opened the door.",ambiguous,translator,31,41
117,Our doctor said he was confident.,unambiguous,doctor,4,10
118,"The architect made a decision, and he seemed ready.",unambiguous,architect,4,13
119,A counselor answered quickly.,ambiguous,counselor,2,11
120,"The scientist, who was calm, started the meeting.",ambiguous,scientist,4,13
121,The supervisor said she was available.,unambiguous,supervisor,4,14
122,The prince worked late.,unambiguous,prince,4,10
123,"The chairman, who was tired, paused for a moment.",unambiguous,chairman,4,12
124,The chef returned later in the afternoon.,ambiguous,chef,4,8
125,"After reviewing the notes, the mechanic smiled politely.",ambiguous,mechanic,31,39
126,"After checking the schedule, the chef gave a short update.",ambiguous,chef,33,37
127,The translator will speak tomorrow.,ambiguous,translator,4,14
128,The architect said he was focused.,unambiguous,architect,4,13
129,The dentist will call later.,ambiguous,dentist,4,11
130,The tired policeman returned later.,unambiguous,policeman,10,19
131,"Yesterday, the teacher answered quickly.",ambiguous,teacher,15,22
132,"The receptionist, who said she was ready, returned later.",unambiguous,receptionist,4,16
133,The doctor answered quickly yesterday.,ambiguous,doctor,4,10
134,The assistant said he was calm.,unambiguous,assistant,4,13
135,"After joining the call, the pilot said she was prepared.",unambiguous,pilot,28,33
136,The famous surgeon gave a lecture.,ambiguous,surgeon,11,18
137,"Near the end of the day, the artist left early.",ambiguous,artist,29,35
138,"At noon, the teacher explained the issue.",ambiguous,teacher,13,20
139,"After answering questions, the veterinarian left early.",ambiguous,veterinarian,31,43
140,The careful firewoman called yesterday.,unambiguous,firewoman,12,21
141,The artist said he was calm.,unambiguous,artist,4,10
142,The teacher asked a question on Monday.,ambiguous,teacher,4,11
143,The careful musician smiled politely.,ambiguous,musician,12,20
144,The quiet director asked a question.,ambiguous,director,10,18
145,"After lunch, the duchess waited outside.",unambiguous,duchess,17,24
146,"The accountant, who said he was prepared, worked late.",unambiguous,accountant,4,14
147,The teacher said she will arrive soon.,unambiguous,teacher,4,11
148,"Yesterday, the journalist walked in quietly.",ambiguous,journalist,15,25
149,The busy counselor gave a short update.,ambiguous,counselor,9,18
150,The nurse said she was tired.,unambiguous,nurse,4,9
151,"Because the writer was prepared, the writer answered quickly.",ambiguous,writer,12,18
152,"The doctor paused for a moment, and he seemed available.",unambiguous,doctor,4,10
153,The receptionist said he was busy.,unambiguous,receptionist,4,16
154,"After joining the call, the empress spoke clearly.",unambiguous,empress,28,35
155,"This morning, the heroine left early.",unambiguous,heroine,18,25
156,"The surgeon, who was late, smiled politely.",ambiguous,surgeon,4,11
157,The journalist forgot her coat.,unambiguous,journalist,4,14
158,The developer gave a lecture.,ambiguous,developer,4,13
159,The visiting manager left early.,ambiguous,manager,13,20
160,The musician said she was busy.,unambiguous,musician,4,12
161,"Because the engineer was prepared, the engineer gave a short update.",ambiguous,engineer,12,20
162,"The emperor, who was available, stood near the window.",unambiguous,emperor,4,11
163,The friendly scientist said she would return later.,unambiguous,scientist,13,22
164,"After reading the email, the architect arrived.",ambiguous,architect,29,38
165,"The architect, who said he was busy, arrived.",unambiguous,architect,4,13
166,"The manager, who was prepared, walked in quietly.",ambiguous,manager,4,11
167,The director said he will finish the report.,unambiguous,director,4,12
168,The salesman paused for a moment.,unambiguous,salesman,4,12
